id,college_name,university_id,affiliation,status,domain_name
234,BAPATLA ENGINEERING COLLEGE,2,Affiliated College,1,
235,BAPATLA WOMENS ENGINEERING COLLEGE,2,Affiliated College,1,
236,BAPUJI COLLEGE OF EDUCATION,2,Affiliated College,1,
237,"BASI REDDY MEMORIAL DEGREE COLLEGE, NANDIKOTKUR",17,Affiliated College,1,
238,"BELLAMKONDA INSTITUTE OF TECHNOLOGY & SCIENCE, KAMBHALAPADU, PODILI-523240, (CC-PH)",12,Affiliated College,1,
239,BENAIAH CHRISTIAN COLLEGE OF EDUCATION,4,Affiliated College,1,
240,"BENAIAH INSTITUTE OF TECHNOLOGY & SCIENCE, CHRIST VIDYA NAGAR, BURUGUPUDI.PIN-533292 (CC-2K)",12,Affiliated College,1,
241,BERITH DEGREE COLLEGE,4,Affiliated College,1,
242,BEST COLLEGE OF EDUCATION,4,Affiliated College,1,
243,"BEST GROUP OF INSTITUTIONS, K.N.ROAD, TADEPALLI(V), TADEPALLIGUDEM , PIN-534101,(CC-9X)",12,Affiliated College,1,
244,"BEST INSTITUTE OF PROFESSIONAL STUDIES, K.N.ROAD, TADEPALLI VILLAGE, TADEPALLIGUDEM, PIN-534101(CC-2U)",12,Affiliated College,1,
245,BH.S.R. & V.L.M. DEGREE COLLEGE,4,Affiliated College,1,
246,BHARATH COLLEGE OF EDUCATION,28,Affiliated College,1,
247,BHARATH COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,11,Affiliated College,1,
248,"BHARATH EDUCATIONAL SOCIETY GROUP OF INSITTUTIONS, (INTEGRATED CAMPUS) ANGLLU",11,Affiliated College,1,
249,"BHARATHI COLLEGE OF EDUCATION, NANDYAL",17,Affiliated College,1,
250,BHARATHI DEGREE COLLEGE,2,Affiliated College,1,
251,BHASHYAM COLLEGE OF EDUCATION,2,Affiliated College,1,
252,BHASKARA DEGREE COLLEGE,4,Affiliated College,1,
253,BHASKARA INSTITUTE OF PHARMACY,4,Affiliated College,1,
254,BHAVANI COLLEGE OF EDUCATION,4,Affiliated College,1,
255,BHAVANI PG COLLEGE FOR MBA,4,Affiliated College,1,
256,"BHEEMA INSTITUTE OF TECHNOLOGY & SCIENCES, ADONI",11,Affiliated College,1,
257,"BHEEMI REDDY INSTITUTE OF MANAGEMENT SCIENCE, ADONI",11,Affiliated College,1,
258,"BHIMAVARAM INSTITUTE OF ENGINEERING & TECHNOLOGY, SWAMY GNANANADHA ASHRAM ROAD, PENNADA, BHIMAVARAM , PIN - 534243(CC-AP)",12,Affiliated College,1,
259,BISHOP AZARIAH DEGREE COLLEGE FOR WOMEN,14,Affiliated College,1,
260,"BIT INSITUTE OF TECHNOLOGY, (F3) HINDUPUR",11,Affiliated College,1,
261,BKRM DEGREE COLLEGE,28,Affiliated College,1,
262,"BKRM DEGREE COLLEGE, PULIVENDLA",28,Affiliated College,1,
263,"BLESS COLLEGE OF NURSING, TIRUPATI",6,Affiliated College,1,
264,"BLOSSOM DEGREE COLLEGE, MULAKALACHERUVU, CHITTOOR DIST RURAL",23,Affiliated College,1,
265,BMRM JHANSI B.ED COLLEGE,2,Affiliated College,1,
266,"BOLLINENI COLLEGE OF NURSING, NELLORE",6,Affiliated College,1,
267,"BONAM VENKATA CHALAMAIAH ENGINEERING COLLEGE, ODALAREVU, ALLAVARAM MANDAL, PIN- 533210 (CC-22)",12,Affiliated College,1,
268,"BONAM VENKATA CHALAMAIAH INSTITUTE OF TECHNOLOGY AND SCIENCE, BATLAPALEM, AMALAPURAM, PIN-533201 (CC-H4)",12,Affiliated College,1,
269,BRAHMAIAH COLLEGE OF ENGINEERING,11,Affiliated College,1,
270,BRILLIANTS DEGREE COLLEGE,3,Affiliated College,1,
271,"BRINDAVAN INSTITUE OF MANAGEMENT & SCINENCE, KURNOOL",11,Affiliated College,1,
272,BS & JR COLLEGE OF EDUCATION,7,Affiliated College,1,
273,BSNM COLLEGE OF EDUCATION,4,Affiliated College,1,
274,"BSR DEGREE COLLEGE, THATITHOPU, TIRUPATI URBAN",23,Affiliated College,1,
275,"BUCHEPALLI VENKAYAMMA SUBBAREDDY ENGINEERING COLLEGE, ONGOLE-KURNOOL ROAD, CHIMAKURTHY-523 226,(CC-HR)",12,Affiliated College,1,
276,BUDDAH RAMESH BABU MEMORIAL DEGREE COLLEGE,4,Affiliated College,1,
277,"BVC COLLEGE OF ENGINEERING, PALACHARLA, RAJANAGARAM MANDAL, PIN-533104(CC-6M)",12,Affiliated College,1,
278,C.B.R.DEGREE COLLEGE,4,Affiliated College,1,
279,C.GANGI REDDY DEGREE COLLEGE,28,Affiliated College,1,
280,C.I.L.FOR RURAL MANAGEMENT,2,Affiliated College,1,
281,C.N.R. DEGREE COLLEGE,3,Affiliated College,1,
282,C.R. COLLEGE,2,Affiliated College,1,
283,C.R.REDDY DEGREE COLLEGE,28,Affiliated College,1,
284,C.S.R. SARMA COLLEGE,2,Affiliated College,1,
285,C.S.T.S. GOVT. KALASALA,4,Affiliated College,1,
286,"C.V. RAMAN DEGREE COLLEGE, TADIPATRI",19,Affiliated College,1,
287,"C.V.L.N.R. DEGREE COLLEGE, ANANTAPUR",19,Affiliated College,1,
288,"C.V.RAMAN ARTS & SCIENCE COLLEGE, VARADAIAHPALEM",23,Affiliated College,1,
289,"C.V.S. KRISHNA THEJA DEGREE COLLEGE, TIRUPATI URBAN",23,Affiliated College,1,
